año_cd,ccaa_cd,zbs_residencia_cd,sexo_cd,grupo_edad_cd,nivel_copago_cd,poblacion_nm
2018,ES41,FQeYvwKuomMwfadHMGVC,0,15,pHQTfUpZpKpJfUZTTMrd,6043
2018,ES24,kUQHPMMmiJzLlPJMboKq,2,15,XuJBHsbQHWHNluoKYPRu,4409
2020,ES51,knoGMVSOZmpiabLHSXOI,1,16,yERDtIkkxqhTVQsTqTdW,1830
2017,ES70,DJLxsIxgfXkPCGHKQIxa,9,2,ugGAVxunvxlzNTgKwFEj,296
2014,ES53,TCWgyOSvVIucgizRIyDd,0,8,ygtbuNqaSJjppjDCrLDB,6496
2021,ES21,kqwEjllYxvwWuPdfgMOe,1,10,xiTkuVJmfAsZHssiVIkS,6167
2022,ES11,DLJJHCByFeniGBmpLaYa,9,11,ukNovKZTlBRkDFqdvOQy,6080
2022,ES24,GunezLCfqTCMywhWIbbc,2,9,iLgPVoLxvRhgTlXylAge,1490
2021,ES22,UdLWwrqeUXWbYllrCmnv,9,6,MXbxitpPMhUVjWeNFsjN,6724
2014,ES61,OfXxIUZYuwnhxTcOMlrL,1,5,ACxiyigXrooKoFhmnprg,194
2016,ES43,WVhugsceLcKUXKbvDKYa,0,16,rbPDATfIrwJjuxOgGElJ,783
2017,ES21,SLJewNIzlanULZfvMioT,0,18,HiuSXxTZOKjyVtKdSWQC,4993
2018,ES21,kgvwATjDdfxmAFYZZpFP,0,16,qluZbBDVQKSJWcWflEap,8806
2015,ES12,aIiVbLZkpqVwunDrAoDx,0,6,dFpiIIzggEfjPvUFCPml,2084
2013,ES13,uTgKCnWljuXeDiTLEvCN,0,4,yAaaAvnadposDhdAzrET,2252
2019,ES43,dUjNZAhdEMSJQBhVPvmq,2,8,qUEZKMypyagAwobmyBmL,804
2013,ES51,gTyBrQmJvrPnuQYRgKUQ,2,15,eFnaIuiKQYOkVNyEuOGI,5243
2013,ES24,PRclksmTewzmmRqKUgnt,0,17,wHSYBOGSmkVnKlmHpHGH,8798
2016,ES63,NKKIaqmHuyepcvccWbGh,1,5,dZPBPEtgKajWSPyPkPIp,3196
2015,ES42,gmYvnZOZsxMshvMLkhFy,9,10,kVHeoNFrRebXToCjUNzT,7721
2018,ES12,UBwhYdrKzgZkNgkQBnLz,2,4,tSRypTmaYFDuXupdFluo,99
2021,ES64,slsjJgkbACrdDHFGankU,9,17,jGxJOwBNXqaETMWdSUkr,1946
2018,ES52,iCnSdrBWDwGsaohXrPTQ,0,5,zlQaCGeJKXPgefPoRUPD,7685
2019,ES21,WinnjgAdjhTyDSQHZrcg,1,5,eRgXpesfLkomtbPHkNEn,3841
2021,ES61,ibvqWvwMisTcXRKLfpEz,9,6,HZntJtvtWQrODuZPxMIF,18
2014,ES11,LjcYneGkTqraaaHHAZdV,2,1,ThSpwcRQHevtjwoMeuMp,4702
2017,ES21,xCCevRgWtCvYMBtHpVdS,0,3,wcSFBSwKPUEDUZiwkaix,2349
2017,ES61,XLPojudofXPFqjzwXNvT,0,5,WtKVVwXLWInBNkbckrQF,9093
2020,ES24,zZgZuVjCVSuaFplgzxRV,1,8,xBfOCGnblbtPWkobNwWh,3013
2022,ES11,PUgYTnFOEsCleLrSOkkF,9,12,hVzAkVUwAsFFduXbLEJf,3225
2016,ES51,EPIMGYeEUBeAFVwhpfaH,9,6,mFVaCoAVsaulXgMtgTVV,9158
2018,ES21,roQKXXbCpDONpcfWgXqQ,2,5,OrZIeqPLzcKnnUHvhluu,1747
2021,ES21,rCmpwzhajFgBeaZjCOTI,9,16,WSvcTpYpypNpyYsNXwdR,8198
2014,ES43,WPZsNJMEmKCrEUIpjVbN,9,3,BkLPRSPLodVtJAUsbaxk,7285
2013,ES21,RHiJpCOswhFSpAYbCYML,9,9,BcLkVlonWzhwjyTuiRyM,9154
2022,ES52,nxGpwlRsiNEPfBPZbwBZ,2,11,koMvoZvZwzQbScrcbXgY,9909
2018,ES12,FKmvQACyLrWnsjpJkulD,0,5,XsbiyKyLTyktGuhIqCKp,9872
2022,ES22,PRgBbfBDhZwyFPYYJNnk,2,6,magURZAOQtoRFZEwcABJ,1914
2016,ES63,gPpVraEjAMrmVRWqYjoG,9,11,OKZaIsAODQxEyEkBJFAl,9400
2015,ES23,bPTjGrCVgcFmpPcnwAWk,9,6,JkcmcFPMvUKIxxGFykzp,5094
2020,ES52,JwPUNvNLxbUUBgWFSJUK,0,15,FUujZTIOALuHrRmcjHGY,3650
2020,ES51,ZHNPuoKDDcFrMRZKEmcv,2,8,eQoKXAIWdSaAqyfciRSS,9060
2015,ES30,NWgQckUtiDFSxLxOFCbT,1,8,cyXNVibhTjmmRDntJGHb,250
2021,ES70,ywkudWWZTWlmxDueOrJc,2,17,GIczIbojvlUPntqIUfZU,8810
2022,ES23,qADbWAOLVUUnVEnvdoyc,0,17,jmPRIOcbitkdDSUWeuPr,3792
2022,ES30,fGiqDwZjGWuaRIClzkNS,1,14,mBGJRSGOXXYSUzqenXHU,2508
2014,ES62,sOWgOhfJUpOJOdlKXPgG,1,12,kxZeaDsdbvYIzWqRQysv,8585
2015,ES51,aZlqQjqRCTIZPpUOnKyx,0,9,wniWHRmkarZOWRsURgEv,3863
2021,ES12,XnXJGrSskVNPwPDEsYsq,1,18,uSLCCsaVAMJRSHaoqVei,7710
2016,ES43,abNfTVIdpquxyOJPtMyt,9,10,qLXMPRbimsDxgDVZQjxK,8032
2015,ES11,NrDAQrpicBXLQxomlVtP,1,6,nWwcHUpjBafaiinTRRFJ,1535
2021,ES11,iqMrSwUKGPckTbaCzoGn,9,1,OdouguaHWAyhkxrTejqv,4765
2021,ES52,JkZJhYqgiailEkXKbytf,0,5,JtVeNuAduWqheWvnSPHA,3214
2019,ES51,CSdXkjlQVVUEgPHHOJnJ,0,3,CKpzgEXlvbyvseSXktTu,5870
2018,ES13,zflmpwsKiunWddwsnwpt,0,15,aHyMqxaOTJxdAtYdyyct,3957
2015,ES30,EgeWxodRNXVPiIMWusJT,2,7,lHXycUQzLqmIbjMulexZ,9522
2021,ES41,DTQNmdNrKWrGYlFwoPNO,9,12,TKLWryxAOjLaZqWXmNBq,6388
2022,ES70,jIzVUYCnZLtWVxPobyVq,9,11,gjnAcSqhIeLoqUuIXWnN,7447
2021,ES63,KmJMemabqwROCwbTsqgu,1,18,QPrQxzNewZDAgZcyrMbY,3269
2022,ES12,loWfIXvvBRmnEGrQwYIB,0,15,uWMoLWzWZDQqlzPHHHgs,7662
2022,ES11,SRiALMojCpTacAHdRRlA,0,8,PjuBwMCWPfkLKdlRWOKw,3050
2020,ES51,zDqyQIsVzjcKZuWFyekm,9,15,IsWQPtEGCsrKHAVIDXNN,6263
2013,ES30,TpJmuqVZgGCfdoEQpfiB,0,1,eYiCqQvaedBgTgvOFQED,2577
2018,ES63,HXSafwNRFhYvkcxiWIek,2,2,rEYdkRDiqSSpgkGFBIMh,4551
2014,ES61,akydXeCKadlyCVSGrDkl,2,2,efONXjjbWDafCGeYAmRq,6073
2018,ES11,lkJaUglKoWPjGdxCGlqK,0,10,yGwqTwiZIDfmDDFEFypS,480
2019,ES61,AxRugoLzrYWPlPrOWVeD,1,4,iMyfLseuUySlaFocUvZr,1104
2013,ES12,jcOkVHQwvgGLZMybfPGB,2,12,PeuYFFErvMFkKmCgViQn,9057
2022,ES52,ZovgSWtQlIUAxssDypYf,9,1,VkhzCtdsmkUrkKNvUFsZ,6550
2022,ES41,jKevoArlJaygTILnWyEp,2,18,gsRsTAgCYYyDNjILxNXn,6575
2014,ES63,AAegfOGfJvZMuHkhmfql,1,1,FgerLrTuzAsZNskjetxc,7988
2018,ES51,xDFhAYWtclKdImNnssfl,9,11,CyKrDCjZszBqLPYlBpuP,8527
2016,ES23,TwuZrKXKghEBOrcyodWK,9,18,TKqFgEzJdlfyBikgmYLO,4831
2022,ES43,qzEmREhyPUtUjhNRMdWB,9,1,JXQHuxugSZgnJTIEwtts,3323
2016,ES21,mIeVAqsMRDKMknSVPzkc,0,17,YFDPoksUPJqXHasSVcNA,6440
2018,ES12,VueEcyklnWVXhtUkspXC,0,7,GTCkSdxGJBWnvzGBrEnu,5891
2021,ES70,ErIQSFyiYOlRQmlPFcBo,9,18,UkySQfaPnGTKsqHmtAfz,7758
2019,ES43,VVJGDiANJyRZLDdFvwKu,2,1,JMscAhIXSmjOJwuDfkSd,2813
2022,ES30,JIGIKNmycPsLkpMUFPaz,9,12,brrClxnLNolxhqnpvmqY,7441
2020,ES51,BOZhQAfGbvxpVgdqXOhc,2,7,fSdYIUbYFcXePOXoLCQW,5103
2013,ES64,KilQKXoIziIRPmRQTUVl,1,4,VdKJyzDNlSTKMkGzqoKZ,1737
2013,ES43,icuuKSOgCNxXWCRXaQsn,2,9,KgiXeWCQZNVlEqFWvaSO,2848
2020,ES42,JHcdCjiuStRjGfXPaEEF,2,6,DwarVmFqgbuGLswnDVaI,2243
2014,ES61,FhXcMvlqmkmABmcJvpzo,2,1,WlgUaKLoiSKQpLFyBQnG,7058
2017,ES42,kgCUTRjmNQYtWRxYXoDW,9,17,tpYatvOkRxwoYYqsiRUo,6710
2019,ES30,GrbCZNqyZUYnpFigXKjh,9,9,jeVynbtKKMnDMYkoeEwz,8415
2018,ES24,qhosRBPRtxRWufhDhRHB,0,11,JkLZVqUJzrsDMpYAGQTM,8511
2015,ES63,bEYARwiRGmnpuEGHvfHn,0,11,euMPMiKPBhqJEuikBOAL,9878
2020,ES30,lpQaMHbWulXYFFUmHNvo,1,13,KNRlwGMpDveePERLvLgV,8384
2016,ES61,oruDoAXvLLyEyHlTrNZE,1,2,WbqYgXNsjzJmYXtJOpIc,6272
2013,ES21,cEywHeywrTYOEhTbPqLO,0,5,FSBaIkFnwEaAruFQYWOn,4393
2018,ES13,HSGunneNbQOfKyJrfboE,0,9,qmFbdloweeUlsRnnNsYs,2770
2022,ES51,iXKgAaAeQRYnAioPKPrR,9,13,AsuKixWebsAtAEdfGAqC,5896
2018,ES70,lPyzpKkilTTOYsiFdRHW,1,17,eushPeoECwAkVVCaPvZM,9285
2019,ES22,ssrBXKlzdcBxruucnwEB,2,17,YYRnNnQkbgZfwbTVuOjf,9914
2015,ES61,LtKThAMWyTVPTngmGfGq,1,10,qAXlGCZvuZoPLGauNspG,5616
2014,ES11,gykOJvlNzmKVKvmPfbjr,0,3,rhFpgabLkuKNYBbngctC,6190
2013,ES43,gdxAROUaSQDDrRtbWeXF,0,2,BlLXjmWFnWhfbrSftQoE,178
2016,ES23,RnrEkpQiCcHeBAkhXtYU,2,17,WOrXFEQMpdgYuZKaIDlh,2108
2016,ES24,RzoyZWSdDjxscIREOerC,2,17,seRcifHqqfIODjvIcsla,7139
2022,ES52,dYTzMtUOWCwUtMnkFQGm,2,13,pXnnameBBcLHoPxxkrAl,5402
2022,ES63,hZTMyLcUHEEoUUKmTaxQ,2,8,dOeITuVUeOZktTtrOHad,8732
2021,ES70,XCblWShxuTcYqIexVptj,9,2,RpIXbRitzYlKNfLRTnOW,2204
2015,ES53,DVisxlXlgiGLRhxACFWJ,0,15,ZSaTCBxbicxBhHznzBhe,7829
2021,ES21,abHUrLyWBhHhWxPYQbcH,0,16,MIxloUgblyPNyBLkGcDG,8832
2015,ES64,gEeqQqlHPNhwsEjBncns,2,6,YqmwdesXwnSIhdBHKFGy,5160
2017,ES62,LhPtRAkEsOVrDtKsqEgo,9,8,gFycJtWYwMKwQWxVmoaw,4308
2013,ES51,GCUexrKEGYuSwTLkpAmK,2,2,LfmPvTYEORQPMjgGgraD,3280
2022,ES52,MuUJkROWhhtdrQzloyEl,1,8,xRVlOWWSzjGJIPXgsOWe,6166
2020,ES52,smdryuzYzYPAcXjlCJMu,2,2,SCoXlvhUaeCmzdABFcqm,7782
2018,ES11,trpvimrNwDsoLNtNFNzj,1,13,UynaowGbrHcAYNInpBfK,3843
2022,ES21,CInDaYAnDjBqLQHqfxgY,9,2,WVqXnGLOBZUfGiHtgaEM,157
2018,ES12,uRmiGFPzoFMTLPhYwZvv,9,11,tyXLzKDRTRxOyuafcoPZ,8820
2017,ES23,FuNnfqKszMzwDbVuJcop,2,11,eDLwpEStcrJKLgxOboqt,1353
2019,ES13,GIOImkJpDZAQuoNfdksj,9,15,UxjTLJFnPGRPqkcUCozL,2283
2019,ES61,jkhnhXwHuEHEjhAfFKwY,9,16,VSHZbVXnIncdPcRwcmJW,3540
2018,ES63,DTcPJoLAbxUWbLKjwcCu,1,5,ENksNlvvZqkZvSpmHrnb,3019
2016,ES23,uaLGpLlwBCgZHOlOEita,9,9,JRLspjWReeGEfZPcJRjK,4020
2017,ES13,sjhsthfjJXEPzGIlPwfo,2,3,IFNeoQgrGIbGCgOwCNla,8592
2013,ES53,yTDdydpaBTFRNNToASaW,9,8,HvgQVWJFKINQzOhxjvbz,414
2018,ES12,viTADqGPwqOtWyFUVQxE,2,18,HoYPshZIhNhjMIhhMmKg,5353
2022,ES64,TyKdVwxGtgItAIKsgrNe,2,14,bTXpITzeKsDLWpgzJBlu,4210
2017,ES30,jmeMQVPqzHZFCkpkSNEk,2,9,yCmRhNqYDBvTzmfnIEGo,7785
2014,ES23,dEefGmCPZLwysaSRVsZh,0,1,GqOsGOcFzZNjsYxmTAra,5004
2021,ES43,XsmVqKXJfDTDLsWEGzRS,0,8,AUJRiWHHmRZZTSfuRJdj,9251
2022,ES30,DDyyWAOJBqMENwjdXMhp,0,11,BbMQPDteFiDQXyCWtpTK,8351
2013,ES70,wcThTxUhBdqiIOSvSqdL,0,11,tfbePNlJRKKMsYNyrbxY,1415
2016,ES43,KaNqmwuGwhXOKvKoGGSm,2,8,HbjaRjGCvAYvPdHIGdKF,683
2021,ES30,BjaEXUakfmzVrhgeDESS,0,17,ZGSdKYxIjHlezIienlgB,2779
2022,ES30,lxMzqvavHTjKKasJZwWu,1,12,ThzwpJiWJPcjUvICmZjH,8084
2022,ES64,HexanmzXqdhxcaYoTAGY,9,8,TdRjWLOwNtqHHSWIjnhQ,6177
2018,ES51,QvDQzQTKFQpCTigskQxG,9,10,fFsxRGWkBOLoqeOyQdrM,5846
2021,ES41,iGvkAnrYLItobvJVsEAb,9,7,mPbbPhxHKffjamNjqurA,4265
2015,ES61,IZesTUCGeYsWSdwLXlWB,1,1,CFPBsyrWneiVkrPvMItn,989
2018,ES30,eJetzyPPEOFiXjherxtF,2,2,AhNFRmIvXdatszoihtvp,2503
2017,ES52,JuiaNpWIAupfOEDmHrBz,9,5,iLBwypcCvwZsPCkEKBOc,645
2018,ES11,GGnupNMREsQLeviwdjxg,9,9,ErOUgSZrYavsbMBeCcJU,99
2017,ES43,EWwZhTmmaElxOEpquMDe,2,1,kNySLHxXcQdKvJiHBQKG,3396
2015,ES30,IQzcAAeRTxdlpajhTVvW,9,17,IOLylFeQxAEZsqAKWYXF,5339
2020,ES52,BSJuNFjQSQbIcMotAMQu,1,14,IHgTNOoeGZmFnTmcwDay,8660
2015,ES13,JFZeTpzPFnqgrlBKUDSk,0,8,TBRvMXKmlLipzknfyrev,6638
2013,ES30,dfucajAgoGkWvMdxtyvK,9,12,OZyIOXUJOimsGCKpNJPH,7040
2021,ES61,FGywXlwnTkVXzATUcFZh,2,6,RAPScHluEZPIkudBhKmC,4103
2019,ES62,UbyCvVpZkQcohdVkNurX,0,14,dAHlASQbnWMpMXYhgHsv,455
2016,ES22,eEzwJvtFkOHWwCwLoxZK,2,16,wKULCjQsPqusdkTAgpoa,8957
2016,ES13,cTvlAMlHdGfMJeFoKqvY,0,11,FVzlAYSvlHHYrkIpSuxQ,8572
2020,ES22,FfJOKjbDUrrOBlyZiBqG,0,2,cVMLtssGXicmsvoYvCDL,6533
2017,ES41,mBKlhorqQbHRrrECARJk,1,3,RpLLNqdppfscPDrVOkiC,5757
2015,ES64,fngCFJJuIkGqncrWFdeH,1,8,jmBXivOgQCIVTEPBSfaC,5903
2018,ES12,EJPPNrYLDJZDiUQVWSJe,0,16,TSAIJrudAvWYHnwIMllV,1384
2022,ES13,dLFwoYPLhsqvTjPpuWPf,9,16,rlzxlxEpAiqXWyqjoVzN,8774
2019,ES64,qlXmpaHyoOyGivniDpmO,1,11,sPZWLcDTiRhrKOBizswh,3391
2021,ES42,TjfXoTBiBISVhlcVwqUM,9,11,llPYFsIdxjCrWOlvqiTh,1499
2020,ES30,BJcmuTVMIPXuqVJXVvmQ,9,10,UIcNhUJWbkhQUyOkQoVY,6105
2022,ES42,ARpujEofPFfojfICbGKK,0,12,zpajNqRAUXagEXlhVAZi,332
2022,ES23,AlMOhRdQFMOTHnFpiBuB,1,1,QGuAzplsUCWJcJRWQbLe,2656
2020,ES43,XOEBzEAgHHfjMEZjkfMc,9,18,VlhwEoaxIuRJfEkLTOCC,2046
2020,ES63,EWTCPFVPlqdBMJkyhYya,2,5,VkPMOYprMslhYJrxpvxQ,3325
2021,ES12,CdJGzIzvKAEsDuOdkYlb,1,3,ojkQIHhkuZkjwMFZuFKD,8025
2020,ES13,pPLthkiOZWIejapjmUTY,9,18,dVuIScXuXOsrUnSGVAdX,9999
2018,ES64,pjYOLopQAwFerBjTqmwn,9,14,eTyHiNaFLdwOCFEyghos,1865
2022,ES24,YuUVAVgQgNOctUWKdnYG,9,12,JwNvEnploULtdwaHeoHg,2572
2014,ES70,caQwVhapoNfvsaSkEacz,2,11,lOslCNeFBzuyWwaFzTuT,4547
2021,ES13,tTFEBsPqabvlXqmnxVeV,1,9,KQUKeHJDJcFnAlWhrGWI,1337
2019,ES11,whtrzmdmmycrJXejwwYz,1,18,JAJQWgXbmqcCnRcaYTKb,2780
2022,ES64,PjAENCWTORttAflHzeCH,0,2,RZClsFckBMpuFmWQaeat,8706
2015,ES41,RJgdSNhzMpGjGQTTibUn,9,14,WtJWpebnafDCKafHcRjg,5162
2014,ES22,KoJNdgSGnDhIzOSYWGTW,2,10,cdRUwHbDcqyUdxQeaGQn,2527
2020,ES64,imqdOlyiajBiTMFyFARL,9,6,abHRkeJzpFCsUhWfCCsH,1974
2020,ES21,qtdxcMADYFnXzIIEsuDO,1,9,kjaWMhLJwKvwbYRotmoq,4455
2014,ES62,OcUWBOCioBwlnYlLvjmo,1,3,XGohezIrcLAmpXpoEgMl,2265
2021,ES43,PGuomAdPXxVeGiUbVHhd,9,1,JOqvqEmiQgQZEnBIBKTI,4
2021,ES62,sWqIZVGERIBLbXusclbW,1,11,uhogrEYsVbczwQmSJOqn,880
2015,ES13,AmRONgBIHZxnddopuROS,1,9,IYyhjrkiHhGhaPLcmpTm,811
2017,ES52,YtMlJeBWcBsCfwrBZOTw,2,14,sNpZWayCIgQkYrwFqqVh,6454
2016,ES22,DkodbwPJpAbdNMWXMGgD,1,13,kYApYJjjUwSDiDoxNtMV,6267
2014,ES22,CPmRqaCvQPdHqSfnSCVF,9,10,AERLzmsPPKzUzhMcAMwT,1931
2018,ES63,ZVbsQkJBOwFYjMGrKoFx,1,12,rRsacJXsqPbCkSSCTFRh,5753
2019,ES64,ibQsgogcVSLiUNkgnxMb,9,4,qwjugmCBDSqmdBqssPOW,2807
2017,ES51,lyRDredLcsuqdRDXUqgT,9,10,rnGaPEXTsLpuuqwmxWXO,2392
2021,ES21,ESxOGwpNzswDXCNzJBKB,2,5,DcRBHHGpypXXNDgxsRIg,6104
2018,ES61,jYUmdGHRismgUkhWFRMK,2,15,XXkVeJqiIePoOZtrYvqW,6701
2019,ES43,NdfNoKxtZcfHSDyOVvEF,9,13,yQJnXODLWHSodTwBUPoi,8163
2021,ES61,qTlBtvlNsTXdipjXRUcX,2,14,YuhJVvSeroKcARaNoQQu,4171
2016,ES52,uhbgsejpHkGEmCdPJLnD,1,13,zlccfkIvQMbzwiiLAEwR,6697
2022,ES12,kSeGtBgufdpZEOrGkMac,9,8,wmKmzZgFsiioLenFJrgM,4193
2020,ES61,BUNCPyQbPUEHYpmzxXUh,1,7,ZFyixuyqNStvmVwTVeYj,644
2020,ES61,zgZjiXIJdbjoNFIcVRhX,1,13,GQyVeZFprQQXEZAOxCqU,8845
2018,ES12,QxcrwtixAlzkuDXpTcjX,2,16,gZAEgBzhWxwWQZOnekzY,4950
2020,ES13,UZLuCgbdbCTCgYCtgqfO,1,18,wIPDmuSsFJpXNsqClniq,620
2021,ES63,qFksVWhyFrvfFvlkdktp,0,6,OFeAsXwsVgaisvfGghxm,2106
2014,ES52,IgZmrFQDSloxtqpyxqLd,2,5,lKSFASaFvZKHzZvLMCnJ,1148
2021,ES53,skKpJXGnyJtVIKlvFFgM,0,10,bOPrIOFpbPZmkuAkdjFp,5478
2020,ES23,etpgAGgHWImrGUwHenBF,9,7,vwVUaKUFfofFWulWMSzx,6327
2014,ES13,ZbJzvBjSCBLwBWGfvkHz,2,6,YVkIYvZVIxYCdhfMiGTs,1592
2014,ES13,EldCmYEpTWzlpZNzWlNP,2,9,KIcbNmioRPswnJdmWoBL,8522
2016,ES23,DvcdDtRQfWRraqewVGSi,0,5,DIEbHrCroRGRRddbYrfx,9316
2015,ES63,jvJFTvAQANqaZUjIwaOL,0,5,BXGAMXJGHLeIGcdnAKzA,9884
2022,ES63,tbjLnaPyGLcVnmQmRAXs,0,7,uavVzRZQxsvFnqQirQVc,367
2018,ES13,rioEgffgWDkpnkhoMmvt,1,12,sqbtAhSxQgMcJqaijejK,4093
2015,ES64,uYXCIXaUmjhovqugccnZ,9,1,NpluyqLwfGCmVPBsxeCp,1664
2019,ES64,PjKisqkCIOKLoKNOAYur,1,11,oyMhHtObjHmGDvAZrGHW,7373
2017,ES22,iLigUGEXDAzOXtwLCRyf,2,2,mHIMAiwRnarkhfmFyfoj,9953
2016,ES24,ifpfXsOEbyDunCbyPcqy,9,8,IGPeGvmmCckQtasfCIoq,8056
2017,ES22,JiLwvokfuizYmpbmsuci,2,6,PRUYNwPDKZCBRGDCVKJd,5851
2013,ES61,GsOjHVwDDDicRANRlXDh,1,16,pprgKOERKxVORhelRikM,9564
2015,ES30,VleCHRapEzWPFJYtClbq,1,6,ZWnAlXJpYwjMHpUDangY,692
2018,ES53,OyhgRBKpTCJDVpAmVxQk,0,5,CRecURYNroSYpOfNKnRF,4654
2022,ES21,mHIXOySqpaBmOqlGZQOm,2,2,zVLppdnfSqJBRedblbaZ,8983
2014,ES70,GnnkGcplwChoUDFZOucm,9,16,fjYTPKKMwwNHEQpaTzAk,6478
2013,ES23,UglVNHbAcRRRDjDhNhHF,0,3,xldrmCNylSaBIehtzieH,6602
2013,ES42,JmxPzmOUqbcSHSIRhbiu,1,8,ONubqSkjGeGhynhanwYe,2964
2017,ES43,LNtfqxANtwdVTfaqkuOL,9,12,tiIgJzqsQDXOCIcpFhya,3793
2019,ES22,rEiHPGYmEJnkOvdlaiOM,9,7,iIOxybCXpTleCfeNmaFc,3475
2018,ES64,hVLGnKAMpAjUsANRWGVg,0,1,EbwlkxxARiXmuzZadUEk,7934
2018,ES42,aZfULQppMJzdveYmyTlO,2,10,qpsGFdOcivMsDZXJUWtz,620
2017,ES11,qHudzFDmoiYjGtGheXCO,0,15,nRveqUoyoZepkBOPROtm,5820
2022,ES70,xgnncKMBrWbswdTcTtYZ,2,6,zKGDMmkaKuZupqJofxPM,1157
2019,ES61,kNozjAYLesogEkiYCswz,9,10,RsNXaDdoJuteYRxVoCJD,8789
2022,ES64,CfLVHvafGCBRahMfLXTk,9,18,GZsFFVFQvfuHKRvBAxmI,993
2015,ES61,ZrIGoXRaRMdBoXvXOoVx,0,8,vbmwuZSphspyPshGHZbO,414
2019,ES51,uReQmPVXEBoelUQprPeC,1,1,xeWimCmZWyvpYHwSEcqD,7888
2019,ES64,myEvmHfldQmpeBEsbskN,1,5,FXtwUSeNSTryyuAwFVGz,8732
2013,ES52,EwmPJshVdVDDQVygrski,1,11,qGzTRmFtAZMDwQyhmbls,151
2017,ES63,cYzjnuOWsitrACWkcOCW,1,15,QURqfLTZkVivkKKgoEIl,3957
2022,ES22,AqGhUpSvJnoeJVjpTQqm,9,3,BVXCesyvtmXjiekOXgEg,5650
2022,ES24,jXIvLFfexxxSdoSSzAqc,1,7,ZYYOVTPyduzEWhbtHwQc,8026
2017,ES43,ztVpIHNsMMsaxEzsooUS,9,1,SuhHJTsqgVPeFIyHYUXT,305
2018,ES21,vIyQWWWYADPaXFQccrRx,1,13,HoDVPqihucscZGTKuTCa,1868
2022,ES53,LzxJMoBdVAamHWCokKsS,1,5,QRLBboWxXgdtJQgnUsiJ,7923
2016,ES30,GQLflQMBMWNuObwznNFm,0,16,UjHlIYsnfomDszCfoaON,139
2015,ES24,FyzhGMquaDcYAUntUGDO,2,9,nUqOTnuBtxlrigoYLsUH,659
2016,ES53,pJvLzvPKNbNdsswfqEAE,2,8,jORGpzmCyFEKJVfopxUs,5628
2022,ES51,nMIrNYAwJGHeyfJzxepj,1,8,wqhuEGPQBUdQrQZUmmZP,1766
2020,ES41,iRTRbAfkqEQBnyktgUny,9,5,TGnEwqUWNPAZdSSmKRUF,5523
2022,ES52,OUrMlWJACLkCGjYmiisP,2,16,OadlygEkQLiHbwyPuahc,9401
2020,ES63,WFVdwkXIDgyOCBbvjzpJ,0,14,ofIKcObHrZfBmhZHyjgL,9896
2019,ES63,YrXXFySSMXuyaYCLmSXq,9,17,FNVJgibRhXOgGvMXyrbN,6038
2021,ES11,pCbjaYbBoXrsJmPIBGWN,1,14,wlKcyRPMimxcZXsRbjxq,2417
2018,ES51,rrCQvimMLKgGmJEAsKUr,0,17,pJmmTKdDgxkdlcYzZSlu,8987
2021,ES22,oEjbCnIWqIwSRxYGvamN,0,16,oPNSdWzcXilgyKomtdAj,9037
2017,ES42,LbWkrfJGmJtjfQDwWlMT,9,1,VFLDQgEfMaTbAXHUNoPf,9393
2019,ES13,hmhiGDRxmXeGoDWdkXpn,9,13,JLzBZXIkIHNHdZDjhVSc,7601
2019,ES70,kTzOOGmqleVCJFslEanv,2,6,LRRkMFnzFQFQqTcqWEVC,7508
2017,ES53,DVwkORqiCVqtCPlnQrUK,0,18,IRsRYugOLsfjwsTyzwbt,9175
2022,ES11,ilTUrdmdGmZgICNOTvvR,2,14,CnBsGdGmuViaWcUWrqDN,1994
2020,ES11,qoLrQVvAEmZsCNSTJCKx,9,11,feJuwqnFOqOIefACGqZR,4751
2018,ES61,iVEpRfeeNOFYaQZczqpu,2,15,aTqwIaAHxMncyIkFjSKN,5789
2016,ES52,lgiAnSjtocrRwxUpESvI,9,15,LUtoBWDZAGBdJOwnntqt,2773
2017,ES43,KitagdqZKBHAfhttyHOm,9,9,YvVRHKUokMnNYDHSnVBj,9144
2015,ES52,UqtZyZaCoeLvRNLBVdWk,0,9,kZweZcbYhIukjPBkncFD,6055
2015,ES23,LugiOICQBbJsAKKmlClq,1,10,vsBHnGRoJQJkcLFcdNJH,8826
2019,ES23,pwlLkvmADzJAPMFyORjV,2,11,ZeEOlzfdtAbfMdLmWLPd,3400
2015,ES12,pYTcTmZyTIxSYyunEzxW,9,4,EUGQxAhYzefeovYxvJMD,5688
2013,ES12,PkOFliFccIBIGLOuCMQM,9,5,dxhyoaepqlbtUsjglVQN,8946
2016,ES70,BeXrnPhBgSpRsTDxVZox,2,14,uUOJqvTtGfpYkMZoaQFC,498
2022,ES13,YRfvYVjirCnnGkXTaFPY,0,7,XbZevBxeTDSVJkTToGvW,5413
2021,ES41,TtWkhwtGTLhoEgupFWYu,9,3,tAxvZJwtnhufLUBsQRkg,7824
2018,ES13,eBjIPkdFXjTMOctrabSX,1,13,nyMGxOPrXiAzCEAzVVGt,6774
2021,ES43,yPGwFEbuSDbEHRcXULil,2,14,QNVoQvjwmsOXmBPREInp,6692
2016,ES53,mdzRUmdxBZTkyapHPGex,0,17,gxgEURoyIBFcSwddDTAQ,939
